Aguascalientes,4.38,6.88,5.88,8.3,26.3,17.2,86.59,88.68,93.69,86.98,93.43,87.73
Baja California,3.51,6.73,5.3,12.9,26.5,19.7,86.49,88.6,93.64,86.89,93.38,87.65
Baja California Sur,3.7,8.01,5.86,15.7,29.9,22.8,84.75,87.24,92.82,85.33,92.53,86.36
Campeche,4.24,6.92,5.84,20.2,32.2,26.2,83.58,86.32,92.27,84.27,91.95,85.48
Chiapas,3.91,6.33,5.61,18.3,30.4,24.3,84.5,87.04,92.7,85.1,92.4,86.17
Chihuahua,3.52,7.55,5.69,9.3,26.8,18,86.33,88.48,93.57,86.75,93.3,87.54
Coahuila,3.5,6.88,5.26,13,28.3,20.6,85.57,87.88,93.21,86.06,92.93,86.97
Colima,4.67,7.29,5.81,18.8,31.6,25.2,83.88,86.56,92.42,84.54,92.1,85.71
Ciudad de Mexico,4.61,6.38,5.42,10.5,23.6,17,87.96,89.76,94.34,88.22,94.1,88.75
Durango,3.86,7.23,5.71,7.9,26,17,86.74,88.8,93.76,87.12,93.5,87.84
Estado de Mexico,4.44,6.74,5.57,6.5,21.6,14,88.98,90.56,94.82,89.14,94.6,89.51
Guanajuato,4.25,6.84,5.44,10.6,26.8,18.7,86.33,88.48,93.57,86.75,93.3,87.54
Guerrero,4.96,7.05,5.93,17.8,31.2,24.4,84.09,86.72,92.51,84.73,92.2,85.86
Hidalgo,3.79,6.24,5.04,9.6,24.7,17.1,87.4,89.32,94.07,87.72,93.83,88.33
Jalisco,3.88,6.63,5.89,12.4,28.4,20.3,85.52,87.84,93.18,86.02,92.9,86.93
Michoacan,4.73,7.16,5.92,9.9,26.7,18.3,86.38,88.52,93.59,86.8,93.33,87.57
Morelos,4.69,6.78,5.69,13.8,29.4,21.5,85.01,87.44,92.94,85.56,92.65,86.55
Nayarit,4.32,7.4,5.87,17.7,32.5,25,83.43,86.2,92.2,84.13,91.88,85.37
Nuevo Leon,3.57,6.87,5.32,14.4,28.5,21.4,85.47,87.8,93.16,85.97,92.88,86.89
Oaxaca,4.53,6.98,5.75,17.4,29.8,23.6,84.8,87.28,92.85,85.37,92.55,86.4
Puebla,3.97,6.58,5.25,10,24.3,17.1,87.61,89.48,94.17,87.9,93.93,88.49
Queretaro,4.2,6.74,5.53,10.6,25.8,18.2,86.84,88.88,93.81,87.21,93.55,87.92
Quintana Roo,3.88,6.53,5.36,21.1,31.6,26.4,83.88,86.56,92.42,84.54,92.1,85.71
San Luis Potosi,3.97,6.88,5.48,14.9,29.1,22,85.16,87.56,93.02,85.69,92.73,86.66
Sinaloa,3.97,7.73,6.01,16.4,32.5,24.4,83.43,86.2,92.2,84.13,91.88,85.37
Sonora,3.46,7.23,5.5,13.1,30.6,21.8,84.39,86.96,92.66,85,92.35,86.09
Tabasco,3.6,6.11,4.94,21.3,30.9,26.1,84.24,86.84,92.58,84.87,92.28,85.98
Tamaulipas,3.42,6.55,5.08,17,20.5,23.2,89.55,91,95.08,89.65,94.88,89.93
Tlaxcala,4.43,6.14,5.3,5.7,22.7,14.1,88.42,90.12,94.55,88.64,94.33,89.09
Veracruz,4.31,6.99,5.72,17.1,27.5,22.3,85.98,88.2,93.4,86.43,93.13,87.27
Yucatan,4.08,6.73,5.62,19.2,31.8,25.5,83.78,86.48,92.37,84.45,92.05,85.64
Zacatecas,4.02,6.96,5.51,7.4,25.4,16.4,87.05,89.04,93.9,87.4,93.65,93.77
