age,m,f,total
Under 5 years,10195968,9742892,19938860
5 to 9 years,10368141,9936097,20304238
10 to 14 years,10605072,10173382,20778454
15 to 19 years,10800491,10331169,21131660
20 to 24 years,11349142,10769493,22118635
25 to 29 years,11902230,11468230,23370460
30 to 34 years,11089131,10883081,21972212
35 to 39 years,10615985,10616012,21231997
40 to 44 years,9753115,9890258,19643373
45 to 49 years,10386175,10587683,20973858
50 to 54 years,10520182,10880912,21401094
55 to 59 years,10700520,11307436,22007956
60 to 64 years,9557283,10430419,19987702
65 to 69 years,7929868,8906513,16836381
70 to 74 years,5947272,6899793,12847065
75 to 79 years,3898816,4842445,8741261
80 to 84 years,2509059,3456231,5965290
85 years and over,2279669,4189013,6468682
